model,threshold,accuracy,roc_auc,balanced_accuracy,precision,recall,f1
Baseline Logistic Regression,0.51,0.6418,0.6654,0.6206,0.9578,0.645,0.7709
LASSO Logistic Regression with CV,0.51,0.621,0.6631,0.6318,0.9612,0.6193,0.7533
Decision Tree,0.48,0.6791,0.6235,0.6048,0.9533,0.6903,0.8008
Random Forest,0.52,0.6785,0.7039,0.6536,0.9628,0.6822,0.7986
Bernoulli Naive Bayes,0.95,0.59,0.6722,0.6376,0.9642,0.5828,0.7265
Gradient Boosting,0.94,0.6304,0.6795,0.61,0.9561,0.6335,0.7621
CatBoost,0.95,0.5616,0.651,0.6,0.9569,0.5558,0.7032
