model,threshold,accuracy,roc_auc,balanced_accuracy,precision,recall,f1
Baseline Logistic Regression,0.5,0.5451,0.5714,0.5747,0.3456,0.6445,0.45
LASSO Logistic Regression with CV,0.5,0.5404,0.5717,0.5713,0.3426,0.6445,0.4474
Decision Tree,0.51,0.5492,0.5492,0.5459,0.3285,0.5379,0.4079
Random Forest,0.5,0.5547,0.572,0.5744,0.3479,0.6209,0.446
Bernoulli Naive Bayes,0.3,0.5397,0.5759,0.568,0.3405,0.6351,0.4433
Gradient Boosting,0.25,0.4808,0.5669,0.5527,0.3221,0.7227,0.4456
